"1198              ","MIRELLA MIX                     ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1200              ","AGATA LUX                       ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","SI                       "
"1201              ","COPOS LUX                       ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1202              ","TECNO                           ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1204              ","ZOE MIX                         ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1206              ","CASPER                          ","DE 3 A 4                 ","DE 3 A 4                 ","MADEJAS 150 GRS.         ","PRIMAVERA / VERANO       ","HILADOS MANUALES         ","CLASICO                  ","SI                       "
"1208              ","VALENTINA                       ","DE 7 A 8                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1209              ","TOTORA  C/PELO                  ","DE 8 A 9                 ","DE 10 A 11               ","MADEJA PESO VARIABLE     ","PRIMAVERA / VERANO       ","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1210              ","ORIANA                          ","DE 12 A 13               ","DE 11 A 12               ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1212              ","TOTORA PLUSH                    ","DE 8 A 9                 ","DE 10 A 11               ","MADEJA PESO VARIABLE     ","PRIMAVERA / VERANO       ","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1215              ","IRIS                            ","DE 5 A 6                 ","DE 5 A 6                 ","MADEJAS 100 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1219              ","YOGUI                           ","DE 5 A 6                 ","DE 5 A 6                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1220              ","NUBE NOA                        ","DE 7 A 8                 ","DE 7 A 8                 ","OVILLOS 100 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1221              ","NUBE ALVIN                      ","DE 7 A 8                 ","DE 7 A 8                 ","OVILLOS 100 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1222              ","FASHION                         ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 100 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1223              ","AQUILES                         ","DE 8 A 9                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1224              ","NUBE PEPO                       ","DE 9 A 10                ","DE 9 A 10                ","OVILLOS 100 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1226              ","NUBE PEPO MIX                   ","DE 9 A 10                ","DE 9 A 10                ","OVILLOS 100 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1228              ","IVONNE                          ","DE 5 A 6                 ","DE 4 A 5                 ","MADEJAS 100 GRS.         ","PRIMAVERA / VERANO       ","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1229              ","NUBE KALI                       ","NO APLICA                ","DE 9 A 10                ","OVILLOS 100 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1230              ","NUBE MOLLY                      ","NO APLICA                ","DE 9 A 10                ","OVILLOS 100 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1231              ","NUBE NASH                       ","NO APLICA                ","DE 7 A 8                 ","OVILLOS 100 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1233              ","--PINKY--                       ","DE 5 A 6                 ","DE 5 A 6                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1234              ","SALMA                           ","DE 5 A 6                 ","DE 5 A 6                 ","MADEJAS 100 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
